strategy,length_km,buffer_hours,storage_cost_2023_usd_per_kg,annual_delivered_kg,required_buffer_kg,diameter_in,stations,segment_length_km,q_bar_a,draft_inlet_bar_a,pressure_swing_bar,raw_linepack_kg,credited_linepack_kg,external_storage_kg,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,compressor_capex_2018_usd,full_year_energy_kwh,pipeline_capex_2023_usd,compressor_capex_2023_usd,storage_capex_2023_usd,pipeline_lcot_2023_usd_per_kg,compressor_lcot_2023_usd_per_kg,electricity_lcot_2023_usd_per_kg,storage_lcot_2023_usd_per_kg,lcot_2023_usd_per_kg,annual_cost_2023_usd,service_closure_kg,infrastructure_response,uses_linepack,design_rank,gap_to_best_2023_usd_per_kg
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,4,240.0,21.278639881217984,24.008007952562476,47.89291443992875,4109589.0403727633,4109589.0403727633,0.0007231268100440502,2,19817.671124984532,1,1839.6240564040556,31101427.226072162,414023001.723935,1781237714.5235832,44995665.02118502,0.43387608602643013,0.37405992004995253,0.012688777535974177,0.08668488542767112,8.677521720528602e-11,0.4734335831003731,236716791.55018654,0.0,Diameter change,True,1,0.0
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,3,300.0,21.01325,24.414372588337756,47.69440345426975,4092555.235255702,4092555.235255702,17033.80584018817,2,19817.671124984532,1,2294.293981300593,29970380.4999395,406777121.5364245,1781237714.5235832,43359334.982616544,10220283.504112903,0.37405992004995253,0.012227332465097867,0.08516779992454297,0.0020440567008225808,0.47349910914041593,236749554.57020795,0.0,Diameter change,True,2,6.552604004284035e-05
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,5,200.0,21.59406517210168,23.860153524305474,47.89291445461225,4109589.041632723,4109589.04109589,0.0,2,19817.671124984532,1,1518.1212292237888,31858353.673040375,417559145.90411556,1781237714.5235832,46090740.45312232,0.0,0.37405992004995253,0.012997588807780494,0.0874252555323231,0.0,0.47448276439005616,237241382.19502807,0.0,Diameter change,True,3,0.0010491812896830655
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,6,171.42857142857142,21.81718254928213,23.75453590970911,47.89291444879923,4109589.04113392,4109589.04109589,0.0,2,19817.671124984532,1,1292.72892899083,32475285.731517322,420084576.6306479,1781237714.5235832,46983280.465587996,0.0,0.37405992004995253,0.013249285091295816,0.08795401038959778,0.0,0.4752632155308461,237631607.76542306,0.0,Diameter change,True,4,0.001829632430473016
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,7,150.0,21.983358532487365,23.67531433851986,47.89291443743342,4109589.040158644,4109589.040158644,0.0009372462518513203,2,19817.671124984532,1,1125.9053218447182,32996880.615022637,421988371.1137089,1781237714.5235832,47737892.41584907,0.5623477511107922,0.37405992004995253,0.013462085661269437,0.08835261193094891,1.1246955022215843e-10,0.4758746177546404,237937308.8773202,0.0,Diameter change,True,5,0.0024410346542673156
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,8,133.33333333333334,22.111932025430193,23.613690695474663,47.89291444458534,4109589.040772335,4109589.040772335,0.00032355496659874916,2,19817.671124984532,1,997.4233877612118,33449539.318200734,423482139.2507308,1781237714.5235832,48392771.66717975,0.1941329799592495,0.37405992004995253,0.01364676161014469,0.08866536537526017,3.88265959918499e-11,0.47637204707418396,238186023.53709197,0.0,Diameter change,True,6,0.0029384639738108675
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,9,120.0,22.214372567674452,23.564386559028403,47.89291444485828,4109589.0407957556,4109589.0407957556,0.0003001345321536064,2,19817.671124984532,1,895.4145259904453,33850095.26527339,424690922.2329587,1781237714.5235832,48972271.8002674,0.18008071929216385,0.37405992004995253,0.013810180647675408,0.08891845086540212,3.601614385843277e-11,0.47678855159904615,238394275.7995231,0.0,Diameter change,True,7,0.003354968498673061
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,2,400.0,21.01325,25.44726363787282,46.96099459686923,4029622.9823800516,4029622.9823800516,79966.05871583847,2,19817.671124984532,1,2943.371320565713,28132688.630056355,391601155.81074053,1781237714.5235832,40700673.46241145,47979635.22950308,0.37405992004995253,0.01147758991640003,0.0819903753739564,0.009595927045900617,0.47712381238620954,238561906.19310477,0.0,Diameter change,True,8,0.003690229285836455
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,10,109.0909090909091,22.29791443331206,23.52404286934594,47.892914454432265,4109589.041617279,4109589.04109589,0.0,2,19817.671124984532,1,812.4531962408857,34209909.06416989,425693389.6444628,1781237714.5235832,49492828.65598542,0.0,0.37405992004995253,0.01395697768098789,0.08912833962121854,0.0,0.4771452373521589,238572618.67607945,0.0,Diameter change,True,9,0.003711654251785823
Joint design,1200.0,72.0,600.0,500000000.0,4109589.04109589,42.0,11,100.0,22.36734677210446,23.49042016220225,47.89291445870274,4109589.0419837194,4109589.04109589,0.0,2,19817.671124984532,1,743.6548568782453,34536995.11061594,426541532.28461254,1781237714.5235832,49966036.97764895,0.0,0.37405992004995253,0.014090422427697005,0.08930591706807911,0.0,0.4774562595457286,238728129.7728643,0.0,Diameter change,True,10,0.004022676445355533
