strategy,length_km,buffer_hours,storage_cost_2023_usd_per_kg,annual_delivered_kg,required_buffer_kg,diameter_in,stations,segment_length_km,q_bar_a,draft_inlet_bar_a,pressure_swing_bar,raw_linepack_kg,credited_linepack_kg,external_storage_kg,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,compressor_capex_2018_usd,full_year_energy_kwh,pipeline_capex_2023_usd,compressor_capex_2023_usd,storage_capex_2023_usd,pipeline_lcot_2023_usd_per_kg,compressor_lcot_2023_usd_per_kg,electricity_lcot_2023_usd_per_kg,storage_lcot_2023_usd_per_kg,lcot_2023_usd_per_kg,annual_cost_2023_usd,service_closure_kg,infrastructure_response,uses_linepack,delta_embedded_2023_usd_per_kg,delta_redesign_2023_usd_per_kg,delta_joint_vs_external_storage_only_2023_usd_per_kg,joint_saving_vs_external_storage_only_percent
External storage only,1200.0,0.0,600.0,500000000.0,0.0,30.0,0,1200.0,,,0.0,0.0,0.0,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,0.0,0.26801830995467557,0.008101605864454974,0.063213201801047,0.0,0.3393331176201775,169666558.81008875,0.0,Transport assets retained,False,0.0,0.0,0.0,0.0
Linepack without redesign,1200.0,0.0,600.0,500000000.0,0.0,30.0,0,1200.0,,,0.0,0.0,0.0,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,0.0,0.26801830995467557,0.008101605864454974,0.063213201801047,0.0,0.3393331176201775,169666558.81008875,0.0,Transport assets retained,False,0.0,0.0,0.0,0.0
Joint design,1200.0,0.0,600.0,500000000.0,0.0,30.0,0,1200.0,,,0.0,0.0,0.0,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,0.0,0.26801830995467557,0.008101605864454974,0.063213201801047,0.0,0.3393331176201775,169666558.81008875,0.0,Transport assets retained,False,0.0,0.0,0.0,0.0
External storage only,1200.0,3.0,600.0,500000000.0,171232.87671232875,30.0,0,1200.0,,,0.0,0.0,0.0,171232.87671232875,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,102739726.02739725,0.26801830995467557,0.008101605864454974,0.063213201801047,0.02054794520547945,0.35988106282565696,179940531.41282848,0.0,Transport assets retained,False,0.02054794520547948,0.0,0.02054794520547948,5.709648916823905
Linepack without redesign,1200.0,3.0,600.0,500000000.0,171232.87671232875,30.0,0,1200.0,34.48398500399789,67.6256939046003,3.911254694931607,171232.8773682569,171232.87671232875,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,0.0,0.26801830995467557,0.008101605864454974,0.063213201801047,0.0,0.3393331176201775,169666558.81008875,0.0,Transport assets retained,True,0.02054794520547948,0.0,0.02054794520547948,5.709648916823905
Joint design,1200.0,3.0,600.0,500000000.0,171232.87671232875,30.0,0,1200.0,34.48398500399789,67.6256939046003,3.911254694931607,171232.8773682569,171232.87671232875,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,0.0,0.26801830995467557,0.008101605864454974,0.063213201801047,0.0,0.3393331176201775,169666558.81008875,0.0,Transport assets retained,True,0.02054794520547948,0.0,0.02054794520547948,5.709648916823905
External storage only,1200.0,6.0,600.0,500000000.0,342465.7534246575,30.0,0,1200.0,,,0.0,0.0,0.0,342465.7534246575,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,205479452.0547945,0.26801830995467557,0.008101605864454974,0.063213201801047,0.0410958904109589,0.3804290080311364,190214504.0155682,0.0,Transport assets retained,False,0.0410958904109589,0.0,0.0410958904109589,10.802512306736448
Linepack without redesign,1200.0,6.0,600.0,500000000.0,342465.7534246575,30.0,0,1200.0,28.33555570037111,64.7069777626152,7.8679570240203915,344455.4306265543,342465.7534246575,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,0.0,0.26801830995467557,0.008101605864454974,0.063213201801047,0.0,0.3393331176201775,169666558.81008875,0.0,Transport assets retained,True,0.0410958904109589,0.0,0.0410958904109589,10.802512306736448
Joint design,1200.0,6.0,600.0,500000000.0,342465.7534246575,30.0,0,1200.0,28.33555570037111,64.7069777626152,7.8679570240203915,344455.4306265543,342465.7534246575,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,0.0,0.26801830995467557,0.008101605864454974,0.063213201801047,0.0,0.3393331176201775,169666558.81008875,0.0,Transport assets retained,True,0.0410958904109589,0.0,0.0410958904109589,10.802512306736448
External storage only,1200.0,9.0,600.0,500000000.0,513698.63013698626,30.0,0,1200.0,,,0.0,0.0,0.0,513698.63013698626,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,308219178.08219177,0.26801830995467557,0.008101605864454974,0.063213201801047,0.06164383561643836,0.4009769532366159,200488476.61830795,0.0,Transport assets retained,False,0.061643835600371955,0.0,0.061643835600371955,15.373411140663741
Linepack without redesign,1200.0,9.0,600.0,500000000.0,513698.63013698626,30.0,0,1200.0,21.479475020554503,62.01174970504677,11.733764036789019,513698.63000309933,513698.63000309933,0.0001338869333267212,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,0.08033215999603271,0.26801830995467557,0.008101605864454974,0.063213201801047,1.6066431999206544e-11,0.33933311763624396,169666558.81812197,0.0,Transport assets retained,True,0.061643835600371955,0.0,0.061643835600371955,15.373411140663741
Joint design,1200.0,9.0,600.0,500000000.0,513698.63013698626,30.0,0,1200.0,21.479475020554503,62.01174970504677,11.733764036789019,513698.63000309933,513698.63000309933,0.0001338869333267212,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,0.08033215999603271,0.26801830995467557,0.008101605864454974,0.063213201801047,1.6066431999206544e-11,0.33933311763624396,169666558.81812197,0.0,Transport assets retained,True,0.061643835600371955,0.0,0.061643835600371955,15.373411140663741
External storage only,1200.0,12.0,600.0,500000000.0,684931.506849315,30.0,0,1200.0,,,0.0,0.0,0.0,684931.506849315,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,410958904.109589,0.26801830995467557,0.008101605864454974,0.063213201801047,0.0821917808219178,0.4215248984420953,210762449.22104764,0.0,Transport assets retained,False,0.06289510457292657,0.0,0.06289510457292657,14.920851604585927
Linepack without redesign,1200.0,12.0,600.0,500000000.0,684931.506849315,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,160805.63540826,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,96483381.24495599,0.26801830995467557,0.008101605864454974,0.063213201801047,0.019296676248991198,0.3586297938691687,179314896.93458435,0.0,Transport assets retained,True,0.06289510457292657,0.0,0.06289510457292657,14.920851604585927
Joint design,1200.0,12.0,600.0,500000000.0,684931.506849315,30.0,0,1200.0,21.01325,61.851806197436495,11.97194024252829,524125.87144105503,524125.87144105503,160805.63540826,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,1276277666.450836,28729098.81012402,96483381.24495599,0.26801830995467557,0.008101605864454974,0.063213201801047,0.019296676248991198,0.3586297938691687,179314896.93458435,0.0,Transport assets retained,True,0.06289510457292657,0.0,0.06289510457292657,14.920851604585927
