strategy,length_km,buffer_hours,storage_cost_2023_usd_per_kg,annual_delivered_kg,required_buffer_kg,diameter_in,stations,segment_length_km,q_bar_a,draft_inlet_bar_a,pressure_swing_bar,raw_linepack_kg,credited_linepack_kg,external_storage_kg,gathering_stages,gathering_rating_unit_kw,enroute_stages,enroute_rating_unit_kw,compressor_capex_2018_usd,full_year_energy_kwh,pipeline_capex_2023_usd,compressor_capex_2023_usd,storage_capex_2023_usd,pipeline_lcot_2023_usd_per_kg,compressor_lcot_2023_usd_per_kg,electricity_lcot_2023_usd_per_kg,storage_lcot_2023_usd_per_kg,lcot_2023_usd_per_kg,annual_cost_2023_usd,service_closure_kg,infrastructure_response,uses_linepack,delta_embedded_2023_usd_per_kg,delta_redesign_2023_usd_per_kg,delta_joint_vs_external_storage_only_2023_usd_per_kg,joint_saving_vs_external_storage_only_percent
External storage only,400.0,0.0,100.0,500000000.0,0.0,24.0,0,400.0,,,0.0,0.0,0.0,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,0.0,0.08033920652977157,0.008101605864454974,0.063213201801047,0.0,0.15165401419527352,75827007.09763676,0.0,Transport assets retained,False,0.0,0.0,0.0,0.0
Linepack without redesign,400.0,0.0,100.0,500000000.0,0.0,24.0,0,400.0,,,0.0,0.0,0.0,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,0.0,0.08033920652977157,0.008101605864454974,0.063213201801047,0.0,0.15165401419527352,75827007.09763676,0.0,Transport assets retained,False,0.0,0.0,0.0,0.0
Joint design,400.0,0.0,100.0,500000000.0,0.0,24.0,0,400.0,,,0.0,0.0,0.0,0.0,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,0.0,0.08033920652977157,0.008101605864454974,0.063213201801047,0.0,0.15165401419527352,75827007.09763676,0.0,Transport assets retained,False,0.0,0.0,0.0,0.0
External storage only,400.0,6.0,100.0,500000000.0,342465.7534246575,24.0,0,400.0,,,0.0,0.0,0.0,342465.7534246575,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,34246575.34246575,0.08033920652977157,0.008101605864454974,0.063213201801047,0.00684931506849315,0.15850332926376667,79251664.63188334,0.0,Transport assets retained,False,0.0019800068590145325,0.0,0.0019800068590145325,1.2491894449230068
Linepack without redesign,400.0,6.0,100.0,500000000.0,342465.7534246575,24.0,0,400.0,21.01325,62.934121301415985,10.600025809436069,99000.3429507274,99000.3429507274,243465.41047393013,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,24346541.047393013,0.08033920652977157,0.008101605864454974,0.063213201801047,0.004869308209478603,0.15652332240475214,78261661.20237607,0.0,Transport assets retained,True,0.0019800068590145325,0.0,0.0019800068590145325,1.2491894449230068
Joint design,400.0,6.0,100.0,500000000.0,342465.7534246575,24.0,0,400.0,21.01325,62.934121301415985,10.600025809436069,99000.3429507274,99000.3429507274,243465.41047393013,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,24346541.047393013,0.08033920652977157,0.008101605864454974,0.063213201801047,0.004869308209478603,0.15652332240475214,78261661.20237607,0.0,Transport assets retained,True,0.0019800068590145325,0.0,0.0019800068590145325,1.2491894449230068
External storage only,400.0,12.0,100.0,500000000.0,684931.506849315,24.0,0,400.0,,,0.0,0.0,0.0,684931.506849315,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,68493150.6849315,0.08033920652977157,0.008101605864454974,0.063213201801047,0.0136986301369863,0.16535264433225982,82676322.16612992,0.0,Transport assets retained,False,0.0019800068590145603,0.0,0.0019800068590145603,1.1974449317157165
Linepack without redesign,400.0,12.0,100.0,500000000.0,684931.506849315,24.0,0,400.0,21.01325,62.934121301415985,10.600025809436069,99000.3429507274,99000.3429507274,585931.1638985876,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,58593116.38985876,0.08033920652977157,0.008101605864454974,0.063213201801047,0.011718623277971752,0.16337263747324526,81686318.73662263,0.0,Transport assets retained,True,0.0019800068590145603,0.0,0.0019800068590145603,1.1974449317157165
Joint design,400.0,12.0,100.0,500000000.0,684931.506849315,24.0,0,400.0,21.01325,62.934121301415985,10.600025809436069,99000.3429507274,99000.3429507274,585931.1638985876,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,58593116.38985876,0.08033920652977157,0.008101605864454974,0.063213201801047,0.011718623277971752,0.16337263747324526,81686318.73662263,0.0,Transport assets retained,True,0.0019800068590145603,0.0,0.0019800068590145603,1.1974449317157165
External storage only,400.0,24.0,100.0,500000000.0,1369863.01369863,24.0,0,400.0,,,0.0,0.0,0.0,1369863.01369863,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,136986301.369863,0.08033920652977157,0.008101605864454974,0.063213201801047,0.0273972602739726,0.17905127446924612,89525637.23462306,0.0,Transport assets retained,False,0.0019800068590145325,0.0,0.0019800068590145325,1.1058323180797123
Linepack without redesign,400.0,24.0,100.0,500000000.0,1369863.01369863,24.0,0,400.0,21.01325,62.934121301415985,10.600025809436069,99000.3429507274,99000.3429507274,1270862.6707479027,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,127086267.07479027,0.08033920652977157,0.008101605864454974,0.063213201801047,0.025417253414958055,0.1770712676102316,88535633.80511579,0.0,Transport assets retained,True,0.0019800068590145325,0.0,0.0019800068590145325,1.1058323180797123
Joint design,400.0,24.0,100.0,500000000.0,1369863.01369863,24.0,0,400.0,21.01325,62.934121301415985,10.600025809436069,99000.3429507274,99000.3429507274,1270862.6707479027,2,19817.671124984532,0,0.0,19857823.53684561,301917911.39976436,382567650.14176935,28729098.81012402,127086267.07479027,0.08033920652977157,0.008101605864454974,0.063213201801047,0.025417253414958055,0.1770712676102316,88535633.80511579,0.0,Transport assets retained,True,0.0019800068590145325,0.0,0.0019800068590145325,1.1058323180797123
