annual_delivery_mt_per_year,length_km,buffer_hours,storage_cost_2023_usd_per_kg,transport_diameter_in,transport_stations,joint_design_diameter_in,joint_design_stations,joint_design_infrastructure_response,external_storage_only_lcot_2023_usd_per_kg,linepack_without_redesign_lcot_2023_usd_per_kg,joint_design_lcot_2023_usd_per_kg,delta_embedded_2023_usd_per_kg,delta_redesign_2023_usd_per_kg
0.25,400.0,0.0,200.0,20.0,0,20.0,0,Transport assets retained,0.20777879949295813,0.20777879949295813,0.20777879949295813,0.0,0.0
0.25,400.0,6.0,200.0,20.0,0,20.0,0,Transport assets retained,0.22147742962994443,0.20953785570981978,0.20953785570981978,0.011939573920124652,0.0
0.25,400.0,12.0,200.0,20.0,0,20.0,0,Transport assets retained,0.23517605976693073,0.2232364858468061,0.2232364858468061,0.011939573920124624,0.0
0.25,400.0,24.0,200.0,20.0,0,20.0,0,Transport assets retained,0.26257332004090334,0.2506337461207787,0.2506337461207787,0.011939573920124624,0.0
0.25,400.0,36.0,200.0,20.0,0,20.0,0,Transport assets retained,0.28997058031487594,0.2780310063947513,0.2780310063947513,0.011939573920124624,0.0
0.25,400.0,48.0,200.0,20.0,0,20.0,0,Transport assets retained,0.31736784058884854,0.3054282666687239,0.3054282666687239,0.011939573920124624,0.0
0.25,400.0,72.0,200.0,20.0,0,20.0,0,Transport assets retained,0.37216236113679374,0.36022278721666906,0.36022278721666906,0.01193957392012468,0.0
0.25,800.0,0.0,200.0,20.0,1,20.0,1,Transport assets retained,0.3487586820458494,0.3487586820458494,0.3487586820458494,0.0,0.0
0.25,800.0,6.0,200.0,20.0,1,20.0,1,Compressor resize,0.3624573121828358,0.3615361007738279,0.3599742982568663,0.0009212114090078605,0.0015618025169616412
0.25,800.0,12.0,200.0,20.0,1,20.0,1,Compressor resize,0.3761559423198221,0.37523473091081416,0.3736729283938525,0.000921211409007916,0.0015618025169616412
0.25,800.0,24.0,200.0,20.0,1,24.0,0,Diameter change,0.4035532025937946,0.4026319911847868,0.3919150706562235,0.000921211409007805,0.010716920528563323
0.25,800.0,36.0,200.0,20.0,1,24.0,0,Diameter change,0.4309504628677672,0.4300292514587594,0.4193123309301961,0.000921211409007805,0.010716920528563323
