case_id,length_mi,capacity_mt_per_year,capacity_factor,inlet_pressure_psig,outlet_pressure_psig,pipeline_om_fraction,compressibility_model,hdsam_diameter_in_reported_by_h2p,h2p_diameter_in,pitea_diameter_in,pitea_station_count_enroute,pitea_lcot_2023_usd_per_kg
DIA_Q0.22_L0100,100.0,0.22,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,13.25,16.0,16.0,0,0.05999267514031022
DIA_Q0.22_L0200,200.0,0.22,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,15.25,20.0,20.0,0,0.12511833561051303
DIA_Q0.22_L0300,300.0,0.22,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,16.5,20.0,20.0,0,0.18228257024945207
DIA_Q0.22_L0400,400.0,0.22,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,17.5,20.0,20.0,0,0.23816810857623663
DIA_Q0.22_L0500,500.0,0.22,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,18.25,20.0,20.0,0,0.29313987244459255
DIA_Q0.22_L0600,600.0,0.22,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,18.75,20.0,20.0,1,0.36504335435533586
DIA_Q0.22_L0700,700.0,0.22,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,19.5,20.0,20.0,1,0.4230520800757081
DIA_Q0.22_L0800,800.0,0.22,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,20.0,20.0,20.0,1,0.4813616453566141
DIA_Q0.22_L0900,900.0,0.22,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,20.5,20.0,20.0,1,0.5403739367584588
DIA_Q0.22_L1000,1000.0,0.22,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,21.0,20.0,20.0,2,0.6004266286355594
DIA_Q1.10_L0100,100.0,1.1,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,24.75,30.0,30.0,0,0.019000873562333227
DIA_Q1.10_L0200,200.0,1.1,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,28.5,36.0,36.0,0,0.04629987608540179
DIA_Q1.10_L0300,300.0,1.1,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,31.0,36.0,36.0,0,0.06741364436642462
DIA_Q1.10_L0400,400.0,1.1,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,32.75,36.0,36.0,0,0.08803934638003422
DIA_Q1.10_L0500,500.0,1.1,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,34.25,42.0,42.0,0,0.11746626879617815
DIA_Q1.10_L0600,600.0,1.1,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,35.5,42.0,42.0,0,0.1390440957751854
DIA_Q1.10_L0700,700.0,1.1,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,36.75,42.0,42.0,0,0.16036727827150002
DIA_Q1.10_L0800,800.0,1.1,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,37.75,42.0,42.0,0,0.18147656417495717
DIA_Q1.10_L0900,900.0,1.1,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,38.5,42.0,42.0,0,0.20240187889199335
DIA_Q1.10_L1000,1000.0,1.1,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,39.25,42.0,42.0,1,0.2374526894303399
DIA_Q2.20_L0100,100.0,2.2,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,32.5,36.0,36.0,0,0.012196059464087368
DIA_Q2.20_L0200,200.0,2.2,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,37.5,42.0,42.0,0,0.025210503597597484
DIA_Q2.20_L0300,300.0,2.2,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,40.5,48.0,42.0,1,0.053855710089531855
DIA_Q2.20_L0400,400.0,2.2,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,43.0,48.0,42.0,1,0.07436326739237653
DIA_Q2.20_L0500,500.0,2.2,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,45.0,48.0,42.0,2,0.09871124911021678
DIA_Q2.20_L0600,600.0,2.2,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,46.75,48.0,42.0,4,0.12090082456888346
DIA_Q2.20_L0700,700.0,2.2,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,48.25,48.0,42.0,9,0.14159874917749754
DIA_Q2.20_L0800,800.0,2.2,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,49.5,48.0,42.0,14,0.1617500626087011
DIA_Q2.20_L0900,900.0,2.2,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,50.75,48.0,42.0,20,0.18164317100134889
DIA_Q2.20_L1000,1000.0,2.2,0.9,1015.0,500.0,0.025,PiTEA pressure-dependent Z,51.75,48.0,42.0,25,0.20138263206199125
