case_id,length_mi,capacity_mt_per_year,diameter_in,station_count_enroute,h2p_minus_pitea_lcot_2023_usd_per_kg,pipeline_capex_contribution_2023_usd_per_kg,compressor_capex_contribution_2023_usd_per_kg,pipeline_om_contribution_2023_usd_per_kg,compressor_fixed_om_contribution_2023_usd_per_kg,electricity_contribution_2023_usd_per_kg,other_contribution_2023_usd_per_kg,closure_residual_2023_usd_per_kg
BEP_Q025_L0010,10.0,0.25,12.0,0,0.00011391498036070462,-8.102472397089005e-09,0.0,-2.53202262474224e-09,0.0,0.0,0.00011392561485572645,0.0
BEP_Q100_L0010,10.0,1.0,20.0,0,2.8477437776807052e-05,-3.0216663807630542e-09,0.0,-9.442707442794926e-10,0.0,0.0,2.8481403713932094e-05,0.0
BEP_Q500_L0010,10.0,5.0,36.0,0,5.694810596826197e-06,-1.1201112077832223e-09,0.0,-3.500347525347024e-10,0.0,0.0,5.696280742786515e-06,0.0
BEP_Q050_L0025,25.0,0.5,20.0,0,5.6944362821399405e-05,-1.405303349852562e-08,0.0,-4.391572969499976e-09,0.0,0.0,5.696280742786743e-05,0.0
BEP_Q100_L0025,25.0,1.0,24.0,0,2.847039019338027e-05,-8.391253754496575e-09,0.0,-2.622266798745841e-09,0.0,0.0,2.848140371393351e-05,0.0
BEP_Q500_L0025,25.0,5.0,42.0,0,5.692542628348788e-06,-2.848087191104889e-09,0.0,-8.900272474624217e-10,0.0,0.0,5.696280742787355e-06,0.0
BEP_Q050_L0075,75.0,0.5,24.0,0,5.6901991342388214e-05,-4.633606513261795e-08,0.0,-1.4480020358227193e-08,0.0,0.0,5.696280742787906e-05,0.0
BEP_Q100_L0075,75.0,1.0,30.0,0,2.844473595575367e-05,-2.7937339570522307e-08,0.0,-8.730418617837131e-09,0.0,0.0,2.8481403713942028e-05,0.0
BEP_Q025_L0100,100.0,0.25,20.0,0,0.0001137924696916412,-1.0144393455505372e-07,0.0,-3.170122955739498e-08,0.0,0.0,0.00011392561485575365,0.0
BEP_Q050_L0100,100.0,0.5,24.0,0,5.688339837914974e-05,-6.050213235855103e-08,0.0,-1.8906916367821395e-08,0.0,0.0,5.6962807427876114e-05,0.0
BEP_Q100_L0100,100.0,1.0,30.0,0,2.8433562837035242e-05,-3.6450191931724546e-08,0.0,-1.1390684980899096e-08,0.0,0.0,2.8481403713947865e-05,0.0
BEP_Q025_L0200,200.0,0.25,20.0,0,0.00011367187772509668,-1.9332352813720703e-07,0.0,-6.041360256075859e-08,0.0,0.0,0.00011392561485579465,0.0
BEP_Q100_L0200,200.0,1.0,36.0,0,2.8364202753393408e-05,-8.929596995353698e-08,0.0,-2.790499061718583e-08,0.0,0.0,2.8481403713964132e-05,0.0
BEP_Q025_L0300,300.0,0.25,20.0,1,0.016305857503765314,-2.8218092512130737e-07,0.003920489586969165,-8.818153912574053e-08,0.0016947066008206645,0.010577106063583884,0.00011392561485584762,0.0
BEP_Q025_L0400,400.0,0.25,20.0,1,0.011892532768639608,-3.691884464073181e-07,0.0035676272898936714,-1.1537138952314854e-07,0.0014256490993006,0.00678581532442547,0.00011392561485579732,0.0
BEP_Q050_L0400,400.0,0.5,30.0,0,5.661649677560221e-05,-2.6385573513031006e-07,0.0,-8.245491724461317e-08,0.0,0.0,5.6962807427977134e-05,0.0
BEP_Q100_L0400,400.0,1.0,42.0,0,2.8239998898074714e-05,-1.8392747876167298e-07,0.0,-5.747733713313937e-08,0.0,0.0,2.8481403713969526e-05,0.0
BEP_Q100_L0500,500.0,1.0,42.0,0,2.8184451389912102e-05,-2.2624938978195192e-07,0.0,-7.070293431729078e-08,0.0,0.0,2.8481403714011345e-05,0.0
BEP_Q050_L0750,750.0,0.5,30.0,1,0.01278569315125988,-4.739930895614624e-07,0.003292315413779171,-1.4812284053862096e-07,0.0013568403356790453,0.008080196710303699,5.6962807428064324e-05,0.0
BEP_Q100_L0750,750.0,1.0,42.0,1,0.016757810535887013,-3.2977217693328856e-07,0.003237395594229634,-1.0305380531400442e-07,0.0014406990442196595,0.012051667319705889,2.8481403714079867e-05,0.0
BEP_Q100_L1000,1000.0,1.0,42.0,1,0.013370064685961414,-4.309876956558228e-07,0.0030120932146709477,-1.346836549192667e-07,0.001268905979806161,0.009061149759120809,2.8481403714071193e-05,0.0
BEP_Q050_L1250,1250.0,0.5,30.0,2,0.02174323785629184,-7.63863131942749e-07,0.006319089324891923,-2.3870722879469394e-07,0.0025112052755749464,0.01285698301875757,5.696280742813892e-05,0.0
BEP_Q100_L1500,1500.0,1.0,42.0,2,0.026711953974540847,-6.288277097320557e-07,0.006024186429341895,-1.9650865933299066e-07,0.002537811959612322,0.018122299518241618,2.8481403714076398e-05,0.0
