case_id,length_mi,capacity_mt_per_year,capacity_factor,pitea_feasible,pitea_lcot_2023_usd_per_kg,pitea_diameter_in,pitea_station_count_enroute,pitea_lcot_design_differs_from_bep,h2p_derived_lcot_2023_usd_per_kg,h2p_diameter_in,h2p_station_count_enroute,h2p_lcot_design_differs_from_bep,h2p_published_bep_2023_usd_per_t,h2p_minus_pitea_lcot_2023_usd_per_kg,pitea_minus_h2p_relative_difference_pct
BEP_Q025_L0010,10.0,0.25,0.9,True,0.004650185049805208,12.0,0,False,0.004764100030165913,12.0,0,False,5.83,0.00011391498036070462,-2.391112269671161
BEP_Q050_L0010,10.0,0.5,0.9,True,0.002753912186386347,14.0,0,False,0.0031936870403240607,16.0,0,False,3.91,0.0004397748539377135,-13.770129896418714
BEP_Q100_L0010,10.0,1.0,0.9,True,0.0017446745008697397,20.0,0,False,0.0017731519386465467,20.0,0,False,2.18,2.8477437776807052e-05,-1.6060348330072596
BEP_Q500_L0010,10.0,5.0,0.9,True,0.0006464340436585058,36.0,0,False,0.000652128854255332,36.0,0,False,0.81,5.694810596826197e-06,-0.8732646254901754
BEP_Q025_L0025,25.0,0.25,0.9,True,0.01282576328287325,14.0,0,False,0.014717772588720136,16.0,0,False,18.03,0.001892009305846886,-12.855269331290954
BEP_Q050_L0025,25.0,0.5,0.9,True,0.00808058219495627,20.0,0,False,0.008137526557777669,20.0,0,False,9.97,5.6944362821399405e-05,-0.6997748322796347
BEP_Q100_L0025,25.0,1.0,0.9,True,0.004827860670366027,24.0,0,False,0.0048563310605594075,24.0,0,False,5.95,2.847039019338027e-05,-0.5862530753844596
BEP_Q500_L0025,25.0,5.0,0.9,True,0.0016451815612982192,42.0,0,False,0.001650874103926568,42.0,0,False,2.04,5.692542628348788e-06,-0.3448199117551847
BEP_Q025_L0075,75.0,0.25,0.9,True,0.04040836414819749,16.0,0,False,0.044550860214406685,20.0,0,False,54.59,0.004142496066209193,-9.298352593581592
BEP_Q050_L0075,75.0,0.5,0.9,True,0.026531008279788326,24.0,0,False,0.026587910271130714,24.0,0,False,32.58,5.6901991342388214e-05,-0.21401453052206468
BEP_Q100_L0075,75.0,1.0,0.9,True,0.016039003975500767,30.0,0,False,0.01606744871145652,30.0,0,False,19.69,2.844473595575367e-05,-0.17703330794186267
BEP_Q500_L0075,75.0,5.0,0.9,False,,,,,0.028892978374577296,48.0,1,False,30.87,,
BEP_Q025_L0100,100.0,0.25,0.9,True,0.057961453381815665,20.0,0,False,0.05807524585150731,20.0,0,False,71.16,0.0001137924696916412,-0.19593971239071006
BEP_Q050_L0100,100.0,0.5,0.9,True,0.03459816459084471,24.0,0,False,0.03465504798922386,24.0,0,False,42.46,5.688339837914974e-05,-0.16414173887982464
BEP_Q100_L0100,100.0,1.0,0.9,True,0.02090096091856655,30.0,0,False,0.020929394481403584,30.0,0,False,25.64,2.8433562837035242e-05,-0.13585468448358287
BEP_Q500_L0100,100.0,5.0,0.9,False,,,,,0.030458560294784928,48.0,1,False,32.79,,
